Abbreviations,Text
abt,about
af,as fuck
aight,alright
awol,away without leaving
bb,baby
bcos,because
bcoz,because
brb,be right back
bro,brother
bt,bad trip
btw,by the way
cld,could
coz,because
cu,see you
df,the fuck
dgaf,don't give a fuck
dis,this
dm,direct message
dnt,don't
dw,don't worry
enf,enough
eta,estimated time of arrival
ez,easy
fbm,fine by me
ffs,for fuck's sake
fomo,fear of missing out
ftw,for the win
ftw,for the win
fu,fuck you
fwm,fine with me
fyi,for your information
gg,good game
gm,good morning
gn,good night
gr8,great
grl,girl
grw,get ready with me
gtg,going to go
h8,hate
hbd,happy birthday
hbu,how about you
hru,how are you
hw,homework
idc,i do not care
idgaf,i don't give a fuck
idk,i do not know
idts,i don't think so
ig,instagram
ik,i know
ily,i love you
ilysm,i love you so much
imo,in my opinion
imy,i miss you
irl,in real life
jk,just kidding
k,okay
l2g,like to go
ldr,long distance relationship
lmfao,laughing my fucking ass off
lmk,let me know
lol,laughing
ly,love you
m8,mate
mfw,my face when
nbd,no big deal
ngl,not going to lie
nm,nothing much
np,no problem
nsfw,not safe for work
nvm,never mind
nw,no way
ofc,ofcourse
og,original gangster
omfg,oh my fucking god
omg,oh my god
ootd,outfit of the day
otb,off to bed
otw,off to work
pm,private message
ppl,people
prob,probably
qt,cutie
r,are
rly,really
rofl,laughing
sh,same here
sis,sister
smh,shake my head
sry,sorry
sup,what's up
tbh,to be honest
thnk,thank you
thx,thanks
tryna,trying to be
ttly,totally
ttyl,talk to you later
ty,thank you
tmrw,tommorrw
u,you only live once
ur,you are
w,with
wb,welcome back
wdyk,what do you know
wfh,work from home
whatevs,whatever
wru,where are you
wtf,what the fuck
wtg,way to go
wyd,what are you doing
wywh,wish you were here
XD,laugh
xo,hugs and kisses
xoxo,hugs and kisses
y,why
yolo,you only live once
omw,on my way
asap,as soon as possible
wtw,whats the word
&,and